character,word1,word2,n
Elaine,yi,yi,2
Elaine,yuri,testikov,2
Frank,arm,moves,2
Frank,bra,salesman,2
Frank,carlo,costanza,2
Frank,foot,odour,2
Frank,mayor,dinkins,2
Frank,now,serenity,2
Frank,sid,farkus,2
George,129,west,2
George,240,bucks,2
George,3,days,2
George,5,times,2
George,50,bucks,2
George,6,hours,2
George,83rd,bout,2
George,85,dollars,2
George,acts,annoyed,2
George,ah,ahhh,2
George,ah,alright,2
George,ah,ill,2
George,ah,shut,2
George,ahead,call,2
George,airport,pickup,2
George,angry,shout,2
George,animated,what're,2
George,anyone's,type,2
George,atlantic,city,2
George,aunt,baby,2
George,baby,shower,2
George,baby,sitting,2
George,bad,boy,2
George,bad,naked,2
George,bald,people,2
George,ball,game,2
George,baseball,player,2
George,bathroom,vandelay,2
George,bathroom,witness,2
George,beautiful,girl,2
George,beep,beep,2
George,bert,har,2
George,bin,son,2
George,birthday,party,2
George,black,hawks,2
George,blankets,tucked,2
George,boiled,egg,2
George,book,club,2
George,boxer,shorts,2
George,bring,em,2
George,broad,jump,2
George,brother,costanza,2
George,buck,naked,2
George,buh,bye,2
George,buy,food,2
George,call,susan,2
George,called,susan,2
George,car,now,2
George,car,phone,2
George,career,day,2
George,carpet,cleaners,2
George,cayman,islands,2
George,chamber,maid,2
George,channel,eleven,2
George,charm,ready,2
George,chicken,salad,2
George,chinese,restaurant,2
George,chocolate,sauce,2
George,chocolate,syrup,2
George,chow,fung,2
George,christian,rock,2
George,christmas,spirit,2
George,civil,service,2
George,clams,casino,2
George,clark,bar,2
George,cleaning,woman,2
George,cleaning,women,2
George,clockwise,swirl,2
George,closes,partition,2
George,closet,business,2
George,clothes,shopping,2
George,club,meets,2
George,club,soda,2
George,coffee,cake,2
George,coffee,late,2
George,colin,o'brien,2
George,common,sense,2
George,complete,opposite,2
George,complete,waste,2
George,concession,stand,2
George,conjugal,visit,2
George,controller's,office,2
George,cookie,crunch,2
George,corbin,bernsen,2
George,correct,answer,2
George,cynthia,cynthia,2
George,daily,news,2
George,day,tomorrow,2
George,days,ago,2
George,de,sour,2
George,dead,im,2
George,decent,hotel,2
George,dinner,tonight,2
George,dollar,eighty,2
George,dont,care,2
George,door,im,2
George,drafty,apartment,2
George,drakes,coffee,2
George,duncan,meyers,2
George,eh,eh,2
George,eighteen,dollars,2
George,elaine's,apartment,2
George,em,feel,2
George,entering,monk's,2
George,equal,packets,2
George,european,accent,2
George,eye,job,2
George,fake,crying,2
George,fall,asleep,2
George,father,son,2
George,father's,car,2
George,feel,funny,2
George,feel,worse,2
George,fifteen,hundred,2
George,fifteen,minutes,2
George,fifty,dollars,2
George,fifty,sixty,2
George,fish,sandwich,2
George,fitted,hat,2
George,flea,market,2
George,forbidden,city,2
George,forced,laughter,2
George,fragile,frankie,2
George,free,shop,2
George,french,fries,2
George,friars,club,2
George,friend,roy,2
George,frogger,machine,2
George,front,door,2
George,funny,quirky,2
George,funny,voice,2
George,galapagos,islands,2
George,gary,fogel,2
George,gonna,buy,2
George,gonna,call,2
George,gonna,fix,2
George,gonna,forget,2
George,gonna,hit,2
George,gonna,kill,2
George,gonna,love,2
George,gonna,play,2
George,gonna,rip,2
George,gonna,sit,2
George,gonna,slip,2
George,gonna,talk,2
George,gonna,wanna,2
George,gonna,watch,2
George,gonna,wear,2
George,gotta,call,2
George,gotta,figure,2
George,gotta,watch,2
George,grand,central,2
George,grape,juice,2
George,guy,playing,2
George,half,block,2
George,happy,festivus,2
George,happy,pappy,2
George,har,bin,2
George,hardware,store,2
George,hat,day,2
George,hawks,jacket,2
George,hee,hoo,2
George,hooome,beep,2
George,horse,manure,2
George,hospital,administrator,2
George,hot,water,2
George,house,doling,2
George,human,fund,2
George,hundred,bucks,2
George,hundred,dollar,2
George,hundred,miles,2
George,hundred,people,2
George,hundred,thousand,2
George,ice,skating,2
George,ill,call,2
George,im,aware,2
George,im,dead,2
George,im,double,2
George,im,fine,2
George,im,giving,2
George,im,singin,2
George,im,starving,2
George,individual,personalities,2
George,inka,dink,2
George,invaded,spain,2
George,iq,test,2
George,island,expressway,2
George,jack,nicholson,2
George,japanese,tv,2
George,jay,crespi,2
George,jerry's,car,2
George,jerry's,fault,2
George,jerry's,tape,2
George,jiffy,park,2
George,joe,buck,2
George,joe,mayo's,2
George,johnson,rod,2
George,jose,jimenez,2
George,keith,keith,2
George,kew,gardens,2
George,killed,susan,2
George,killing,independent,2
George,king,edward,2
George,kn,ow,2
George,knick,game,2
George,kom,pau,2
George,kosher,meal,2
George,kramer's,apartment,2
George,kramer's,blood,2
George,l.a,law,2
George,lane,stinks,2
George,laser,guy,2
George,latex,salesman,2
George,latvian,orthodox,2
George,laughs,hehe,2
George,laughs,snorts,2
George,lay,hee,2
George,leave,town,2
George,leaving,alright,2
George,left,arm,2
George,liam,neeson,2
George,lincoln,center,2
George,lipped,kiss,2
George,loading,zone,2
George,lot,nicer,2
George,lovely,girls,2
George,ma,nure,2
George,madison,square,2
George,magnificent,stone,2
George,male,roommate,2
George,marble,rye,2
George,marisa,tomei's,2
George,marlon,brando's,2
George,mashed,potatoes,2
George,massage,table,2
George,massage,winks,2
George,master,bedroom,2
George,mayo's,apartment,2
George,mckigney,guy,2
George,meat,packing,2
George,medical,journals,2
George,medium,turkey,2
George,mental,patient,2
George,mes,saaage,2
George,metlife,windbreaker,2
George,miss,america,2
George,mm,hmm,2
George,modern,science,2
George,moe,sol,2
George,morning,thunder,2
George,naked,station,2
George,neon,lights,2
George,nervous,breakdown,2
George,nervous,chuckle,2
George,nervous,laughter,2
George,night,club,2
George,now,listen,2
George,now,shut,2
George,ooh,ooh,2
George,ostrich,burger,2
